@file,1,DJM-S7,,,,,,,,,,,,
#name,function,type,input,deck1,deck2,deck3,deck4,output,deck1,deck2,deck3,deck4,option,comment
FX2BeatUp,FX2BeatUp,Button,9507,,,,,,,,,,,FX2 Effect beat up
FX2BeatMultiplier,FX2BeatMultiplier,Indicator,,,,,,B564,,,,,,FX2 BeatMultiplier No
,,,,,,,,,,,,,,
FxBankALoad,FX2-2+Shift,Button,9615,,,,,9615,,,,,,FX BANK A LOAD
FxBankBLoad,FX2-3+Shift,Button,9617,,,,,9617,,,,,,FX BANK B LOAD
FxBpmTapMode,Tap,Button,960A,,,,,,,,,,,
FxBpmAutoMode,Tap+Shift,Button,9616,,,,,,,,,,,
,,,,,,,,,,,,,,
Fx1-1_BeatTarget,Fx1-1_BeatTarget,Button,9470,,,,,,,,,,RO,
Fx1-2_BeatTarget,Fx1-2_BeatTarget,Button,9471,,,,,,,,,,RO,
Fx1-3_BeatTarget,Fx1-3_BeatTarget,Button,9472,,,,,,,,,,RO,
Fx2-1_BeatTarget,Fx2-1_BeatTarget,Button,9570,,,,,,,,,,RO,
Fx2-2_BeatTarget,Fx2-2_BeatTarget,Button,9571,,,,,,,,,,RO,
Fx2-3_BeatTarget,Fx2-3_BeatTarget,Button,9572,,,,,,,,,,RO,
DeselectAllFxBeatTarget,DeselectAllFxBeatTarget,Button,967D,,,,,,,,,,RO,All APP FX is Deselected
,,,,,,,,,,,,,,
PAD1_Sampler,,Pad,,9430,9530,,,,,,,,RO,Fast
PAD1_Sampler+Shift,,Pad,,9473,9573,,,,,,,,RO,Fast
PAD2_Sampler,,Pad,,9431,9531,,,,,,,,RO,Fast
PAD2_Sampler+Shift,,Pad,,9474,9574,,,,,,,,RO,Fast
PAD3_Sampler,,Pad,,9432,9532,,,,,,,,RO,Fast
PAD3_Sampler+Shift,,Pad,,9475,9575,,,,,,,,RO,Fast
PAD1_HotCue,,Pad,,9433,9533,,,,,,,,RO,Fast
PAD2_HotCue,,Pad,,9434,9534,,,,,,,,RO,Fast
PAD3_HotCue,,Pad,,9435,9535,,,,,,,,RO,Fast
SemitoneUp,,Button,,9436,9536,,,,,,,,RO,
SemitoneDown,,Button,,9437,9537,,,,,,,,RO,
KeyReset,,Button,,9479,9579,,,,,,,,RO,
KeyReset,,Button,,947A,957A,,,,,,,,RO,
SlipReverse,,Button,,9438,9538,,,,,,,,RO,Fast
PAD1_HotCue,,Pad,,9439,9539,,,,,,,,RO,Fast
PAD1_Sampler,,Pad,,943A,953A,,,,,,,,RO,Fast
PAD1_Sampler+Shift,,Pad,,947D,957D,,,,,,,,RO,Fast
,,,,,,,,,,,,,,
# Performance,,,,,,,,,,,,,,
PAD1_PadMode1,PAD1_PadMode1,Pad,,9700,9800,,,,9700,9800,,,Fast,
PAD1_PadMode1+Shift,PAD1_PadMode1+Shift,Pad,,9708,9808,,,,9708,9808,,,Fast,
PAD1_PadMode2,PAD1_PadMode2,Pad,,9710,9810,,,,9710,9810,,,Fast,
PAD1_PadMode2+Shift,PAD1_PadMode2+Shift,Pad,,9718,9818,,,,9718,9818,,,Fast,
PAD1_PadMode3,PAD1_PadMode3,Pad,,9720,9820,,,,9720,9820,,,Fast,
PAD1_PadMode3+Shift,PAD1_PadMode3+Shift,Pad,,9728,9828,,,,9728,9828,,,Fast,
PAD1_PadMode4,PAD1_PadMode4,Pad,,9730,9830,,,,9730,9830,,,Fast,
PAD1_PadMode4+Shift,PAD1_PadMode4+Shift,Pad,,9738,9838,,,,9738,9838,,,Fast,
PAD1_PadMode5,PAD1_PadMode5,Pad,,9740,9840,,,,9740,9840,,,Fast,
PAD1_PadMode5+Shift,PAD1_PadMode5+Shift,Pad,,9748,9848,,,,9748,9848,,,Fast,
PAD1_PadMode6,PAD1_PadMode6,Pad,,9750,9850,,,,9750,9850,,,Fast,
PAD1_PadMode6+Shift,PAD1_PadMode6+Shift,Pad,,9758,9858,,,,9758,9858,,,Fast,
PAD1_PadMode7,PAD1_PadMode7,Pad,,9760,9860,,,,9760,9860,,,Fast,
PAD1_PadMode7+Shift,PAD1_PadMode7+Shift,Pad,,9768,9868,,,,9768,9868,,,Fast,
PAD1_PadMode8,PAD1_PadMode8,Pad,,9770,9870,,,,9770,9870,,,Fast,
PAD1_PadMode8+Shift,PAD1_PadMode8+Shift,Pad,,9778,9878,,,,9778,9878,,,Fast,
,,,,,,,,,,,,,,
PAD2_PadMode1,PAD2_PadMode1,Pad,,9701,9801,,,,9701,9801,,,Fast,
PAD2_PadMode1+Shift,PAD2_PadMode1+Shift,Pad,,9709,9809,,,,9709,9809,,,Fast,
PAD2_PadMode2,PAD2_PadMode2,Pad,,9711,9811,,,,9711,9811,,,Fast,
PAD2_PadMode2+Shift,PAD2_PadMode2+Shift,Pad,,9719,9819,,,,9719,9819,,,Fast,
PAD2_PadMode3,PAD2_PadMode3,Pad,,9721,9821,,,,9721,9821,,,Fast,
PAD2_PadMode3+Shift,PAD2_PadMode3+Shift,Pad,,9729,9829,,,,9729,9829,,,Fast,
PAD2_PadMode4,PAD2_PadMode4,Pad,,9731,9831,,,,9731,9831,,,Fast,
PAD2_PadMode4+Shift,PAD2_PadMode4+Shift,Pad,,9739,9839,,,,9739,9839,,,Fast,
PAD2_PadMode5,PAD2_PadMode5,Pad,,9741,9841,,,,9741,9841,,,Fast,
PAD2_PadMode5+Shift,PAD2_PadMode5+Shift,Pad,,9749,9849,,,,9749,9849,,,Fast,
PAD2_PadMode6,PAD2_PadMode6,Pad,,9751,9851,,,,9751,9851,,,Fast,
PAD2_PadMode6+Shift,PAD2_PadMode6+Shift,Pad,,9759,9859,,,,9759,9859,,,Fast,
PAD2_PadMode7,PAD2_PadMode7,Pad,,9761,9861,,,,9761,9861,,,Fast,
PAD2_PadMode7+Shift,PAD2_PadMode7+Shift,Pad,,9769,9869,,,,9769,9869,,,Fast,
PAD2_PadMode8,PAD2_PadMode8,Pad,,9771,9871,,,,9771,9871,,,Fast,
PAD2_PadMode8+Shift,PAD2_PadMode8+Shift,Pad,,9779,9879,,,,9779,9879,,,Fast,
,,,,,,,,,,,,,,
PAD3_PadMode1,PAD3_PadMode1,Pad,,9702,9802,,,,9702,9802,,,Fast,
PAD3_PadMode1+Shift,PAD3_PadMode1+Shift,Pad,,970A,980A,,,,970A,980A,,,Fast,
PAD3_PadMode2,PAD3_PadMode2,Pad,,9712,9812,,,,9712,9812,,,Fast,
