@file,1,PIONEER DDJ-WeGO2
#name,function,type,input,deck1,deck2,deck3,deck4,output,deck1,deck2,deck3,deck4,option,comment
,,,,,,,,,,,,,,
# Browser,,,,,,,,,,,,,,
CFXParameterCH1,CFXParameterCH1+Shift,KnobSliderHiRes,B410,,,,,,,,,,Fast,CH1 CFX Depth
CFXParameterCH2,CFXParameterCH2,KnobSliderHiRes,B500,,,,,,,,,,Fast,CH2 CFX Depth
CFXParameterCH2,CFXParameterCH2+Shift,KnobSliderHiRes,B510,,,,,,,,,,Fast,CH2 CFX Depth
CFXParameterCH3,CFXParameterCH3,KnobSliderHiRes,B408,,,,,,,,,,Fast,CH3 CFX Depth
CFXParameterCH3,CFXParameterCH3+Shift,KnobSliderHiRes,B418,,,,,,,,,,Fast,CH3 CFX Depth
CFXParameterCH4,CFXParameterCH4,KnobSliderHiRes,B508,,,,,,,,,,Fast,CH4 CFX Depth
CFXParameterCH4,CFXParameterCH4+Shift,KnobSliderHiRes,B518,,,,,,,,,,Fast,CH4 CFX Depth
,,,,,,,,,,,,,,
# Performance,,,,,,,,,,,,,,
PAD1_HotCue,PAD1.HotCue.Call,Pad,902E,0,1,2,3,902E,0,1,2,3,Fast,HOT CUE1
PAD1_HotCue+Shift,PAD1.HotCue.Delete,Pad,905F,0,1,2,3,905F,0,1,2,3,Fast,Delete HOT CUE1
PAD1_Sampler,PAD1.Sampler.Start,Pad,903C,0,1,2,3,903C,0,1,2,3,Fast,Sample Slot 1 play
PAD1_Sampler+Shift,PAD1.Sampler.Stop,Pad,903D,0,1,2,3,903D,0,1,2,3,Fast,Sample Slot 1 stop
,,,,,,,,,,,,,,
PAD2_HotCue,PAD2.HotCue.Call,Pad,902F,0,1,2,3,902F,0,1,2,3,Fast,HOT CUE2
PAD2_HotCue+Shift,PAD2.HotCue.Delete,Pad,9060,0,1,2,3,9060,0,1,2,3,Fast,Delete HOT CUE2
PAD2_Sampler,PAD2.Sampler.Start,Pad,903E,0,1,2,3,903E,0,1,2,3,Fast,Sample Slot2 play
PAD2_Sampler+Shift,PAD2.Sampler.Stop,Pad,903F,0,1,2,3,903F,0,1,2,3,Fast,Sample Slot2 stop
,,,,,,,,,,,,,,
PAD3_HotCue,PAD3.HotCue.Call,Pad,9030,0,1,2,3,9030,0,1,2,3,Fast,HOT CUE3
PAD3_HotCue+Shift,PAD3.HotCue.Delete,Pad,9061,0,1,2,3,9061,0,1,2,3,Fast,Delete HOT CUE3
PAD3_Sampler,PAD3.Sampler.Start,Pad,9040,0,1,2,3,9040,0,1,2,3,Fast,Sample Slot 3 play
PAD3_Sampler+Shift,PAD3.Sampler.Stop,Pad,9041,0,1,2,3,9041,0,1,2,3,Fast,Sample Slot 3 stop
,,,,,,,,,,,,,,
PAD4_HotCue,PAD4.HotCue.Call,Pad,9031,0,1,2,3,9031,0,1,2,3,Fast,HOT CUE 4
PAD4_HotCue+Shift,PAD4.HotCue.Delete,Pad,9062,0,1,2,3,9062,0,1,2,3,Fast,Delete HOT CUE 4
PAD4_Sampler,PAD4.Sampler.Start,Pad,9042,0,1,2,3,9042,0,1,2,3,Fast,Sample Slot 4 play
PAD4_Sampler+Shift,PAD4.Sampler.Stop,Pad,9043,0,1,2,3,9043,0,1,2,3,Fast,Sample Slot 4 stop
,,,,,,,,,,,,,,
#,HotCueSampler,Button,9059,0,1,2,3,,,,,,,
,,,,,,,,,,,,,,
# State,,,,,,,,,,,,,,
PlayingState,PlayingState,Indicator,,,,,,906E,0,1,2,3,RO,Playing States of the left/right deck
,,,,,,,,,,,,,,
# illumination,,,,,,,,,,,,,,
LoadedIndicator,LoadedIndicator,Indicator,,,,,,,9B0C,9B0D,9B0E,9B0F,RO;Priority=100,Trigger for Load illumination
JogPlayPauseIndicatorShort,JogPlayPauseIndicatorShort,JogIndicator,,,,,,,B630,B631,B632,B633,RO;Min=1;Max=64;Priority=100,Playing States for the trigger for JOG illumination
GetLoopActive,GetLoopActive,Indicator,,,,,,,9B10,9B11,9B12,9B13,RO;Priority=100,get loop active
,,,,,,,,,,,,,,
# Parameter,,,,,,,,,,,,,,
JogIndicatorInterval,JogIndicatorInterval,Parameter,FFF1,,,,,,,,,,Value=32,
JogRatency,JogRatency,Parameter,FFF2,,,,,,,,,,Value=4,unused
MidiOutInterval,MidiOutInterval,Parameter,FFF3,,,,,,,,,,Value=2,
