@file,1,DDJ-REV5,,,,,,,,,,,,
#name,function,type,input,deck1,deck2,deck3,deck4,output,deck1,deck2,deck3,deck4,option,comment
,,,,,,,,,,,,,,
# Browser,,,,,,,,,,,,,,
Browse,Browse,Rotary,B640,,,,,,,,,,,Browse(Track/Folder Select)
Zoom,Browse+Shift,Rotary,B664,,,,,,,,,,,Scaling Waveform for all deck
FX1-1Select,Browse+FX1-1,Rotary,B450,,,,,,,,,,,Change effect type of FX1-1
FX1-2Select,Browse+FX1-2,Rotary,B451,,,,,,,,,,,Change effect type of FX1-2
FX1-3Select,Browse+FX1-3,Rotary,B452,,,,,,,,,,,Change effect type of FX1-3
FX2-1Select,Browse+FX2-1,Rotary,B550,,,,,,,,,,,Change effect type of FX2-1
FX2-2Select,Browse+FX2-2,Rotary,B551,,,,,,,,,,,Change effect type of FX2-2
FX2-3Select,Browse+FX2-3,Rotary,B552,,,,,,,,,,,Change effect type of FX2-3
Forward,Browse+Press,Button,9641,,,,,,,,,,,Library Forward (Folder Open)
AddToTagList,Browse+Press+Shift,Button,9642,,,,,,,,,,,Tag Track
Back,Back,Button,9665,,,,,,,,,,,Library Back (Folder Close)
Area,Back+Shift,Button,9666,,,,,,,,,,,Area (Change panel type from among several types)
Load,Load,Button,,9646,9647,9648,9649,,,,,,,Load to Deck / Instant Double (double click)
DeckMove,Load+Shift,Button,,965D,966D,965E,966E,,,,,,,Move the track from deck to deck
,,,,,,,,,,,,,,
# Deck,,,,,,,,,,,,,,
PlayPause,PlayPause,Button,900B,0,1,2,3,900B,0,1,2,3,Fast;Priority=50,Play/Pause
PlayPause,PlayPause+Shift,Button,901B,0,1,2,3,901B,0,1,2,3,Fast;Priority=50,Play/Pause
Cue,Cue,Button,900C,0,1,2,3,900C,0,1,2,3,Fast;Priority=50,Cue Set/Play Cue Back
JumpToTrackStart,Cue+Shift,Button,901C,0,1,2,3,901C,0,1,2,3,Fast;Priority=50,Jump to track start
,,,,,,,,,,,,,,
# Scratch,,,,,,,,,,,,,,
JogScratch,JogScratch,JogRotate,B022,0,1,2,3,,,,,,RO,Scratch
JogPitchBend,JogPitchBend,JogRotate,B023,0,1,2,3,,,,,,RO,Pitch Bend
JogSearch,JogSearch,Difference,B01F,0,1,2,3,,,,,,RO,Search
JogTouch,JogTouch,JogTouch,900D,0,1,2,3,,,,,,RO,Touch
JogTouch,JogTouch+Shift,JogTouch,901D,0,1,2,3,,,,,,RO,Touch
WheelPitchBend,WheelPitchBend,JogRotate,B021,0,1,2,3,,,,,,RO,Pitch Bend
#,WheelSearch,JogRotate,B026,0,1,2,3,,,,,,RO,No function assigned here
,,,,,,,,,,,,,,
TempoSlider,TempoSlider,KnobSliderHiRes,B000,0,1,2,3,,,,,,Fast,Tempo Control
